T,TM,Tm,H,VV,V,VM,PM 2.5
30.7,35,27,70,2.4,8,16.5,45.66666666666666
28.8,33,26,82,1.8,7.2,14.8,40.625
29.7,33,25,73,3.5,7,11.1,26.875
30.6,36,28,73,3.7,10.9,18.3,30.70833333333333
32.8,37,29,60,4.2,14.8,24.1,10.208333333333334
29.2,33,26,76,2.9,4.6,14.8,43.04166666666666
28.6,32,25,81,2.6,8.3,16.5,19.416666666666668
30.8,35,27,76,3.4,10.2,14.8,8.416666666666666
31.2,35,28,73,2.4,13.1,20.6,0.0
29.6,32,26,75,2.9,18,22.2,0.0
29.2,33,26,74,3.5,15,22.2,4.833333333333333
28.8,31,26,75,2.4,8.9,14.8,15.375
27.7,31,25,81,2.7,5.9,14.8,19.83333333333333
28.8,33,26,78,3.1,5.9,20.6,25.791666666666668
30.2,35,26,71,3.5,10.2,14.8,22.70833333333333
29,34,26,83,2.1,7.2,16.5,31.33333333333333
29.3,32,27,83,1.3,7.6,14.8,47.41666666666666
27.1,29,26,93,1,7.8,13,33.791666666666664
31.6,35,28,71,3.2,5.6,13,39.04166666666666
30.2,33,28,81,3.1,6.7,11.1,41.708333333333336
27.8,31,26,91,2.6,6.3,14.8,28.75
